"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.075513750E-1,9.547296295E0,-6.077960815E0,9.744735718E-2
9.175523750E-1,8.702303467E0,-5.383405151E0,4.385879517E-2
9.275543749E-1,7.779322815E0,-4.447102203E0,8.026309204E-1
9.375553749E-1,7.088958435E0,-3.490441589E0,2.815644836E-1
9.475563749E-1,6.307583313E0,-2.556982727E0,6.002517700E-1
9.575573750E-1,5.786067810E0,-1.650467834E0,2.978805542E-1
9.675583750E-1,5.456453247E0,-9.530680847E-1,2.047741699E-1
9.775593750E-1,5.333858185E0,-5.539979553E-1,2.177970886E-1
9.875603749E-1,5.260660400E0,-2.134561157E-1,4.424798584E-1
9.975623749E-1,5.080884247E0,6.421646118E-2,6.068380737E-1
1.007563375E0,4.740492096E0,1.480421448E-1,7.679031372E-1
1.017564375E0,4.181554413E0,1.209484863E-1,6.499484253E-1
1.027565375E0,3.457061005E0,-1.793270874E-1,4.561015320E-1
1.037566375E0,2.655926971E0,-4.641847229E-1,-5.313949585E-2
1.047567375E0,1.689087524E0,-4.327500916E-1,-9.241781616E-1
1.057568375E0,7.102729797E-1,-1.383123779E-1,-1.668131104E0
1.067570375E0,6.197113037E-2,5.183720398E-1,-2.141596527E0
1.077571375E0,-8.517288208E-2,1.479822693E0,-2.570754089E0
1.087571667E0,1.908531189E-1,2.390528870E0,-2.790946198E0
1.097572667E0,8.099656677E-1,3.263363800E0,-2.694846039E0
1.107573667E0,1.451232147E0,4.165537720E0,-2.612666931E0
1.117574667E0,1.889371033E0,5.020559692E0,-2.573149109E0
1.127575667E0,2.226170654E0,5.904022522E0,-2.529140625E0
1.137577667E0,2.448458405E0,6.825655975E0,-2.483335876E0
1.147578667E0,2.668500824E0,7.486681366E0,-2.339634705E0
1.157579667E0,2.973865814E0,7.640860748E0,-1.996248779E0
1.167580667E0,3.142415314E0,7.731871490E0,-1.540746002E0
1.177581667E0,2.762505341E0,7.948022003E0,-1.200503540E0
1.187582667E0,2.052681427E0,7.571255493E0,-1.195713501E0
1.197583667E0,1.465003510E0,6.668033752E0,-9.785151672E-1
1.207585667E0,7.605683899E-1,5.979465637E0,-8.078700256E-1
1.217586667E0,-7.185058594E-3,5.928272095E0,-7.357200623E-1
1.227587667E0,-6.063890076E-1,6.416856079E0,-7.521858215E-1
1.237588667E0,-9.388476562E-1,7.180268555E0,-8.508306885E-1
1.247589667E0,-9.764195251E-1,7.880213013E0,-7.870632935E-1
1.257590667E0,-7.379653931E-1,8.339458008E0,-4.670288086E-1
1.267591667E0,-4.246669006E-1,8.540040894E0,4.355941772E-2
1.277593667E0,-1.480421448E-1,8.598718872E0,6.475534058E-1
1.287594667E0,9.131011963E-2,8.632099457E0,1.398841095E0
1.297595667E0,2.013313293E-1,8.536148987E0,2.177521820E0
1.307596667E0,1.329235840E-1,8.295299835E0,2.799927521E0
1.317597667E0,-1.254391479E-1,7.987988892E0,3.143612823E0
1.327598667E0,-4.574487305E-1,7.735763397E0,3.236120453E0
1.337599667E0,-6.718029785E-1,7.560328217E0,3.076701965E0
1.347601667E0,-8.334667969E-1,7.386988678E0,2.861299896E0
1.357602667E0,-8.722361755E-1,7.151827698E0,2.656974792E0
1.367603667E0,-7.958949280E-1,6.857689362E0,2.302362213E0
1.377604667E0,-5.533992004E-1,6.501579895E0,2.126777344E0
1.387605667E0,-1.941462708E-1,6.082900543E0,1.925595703E0
1.397606667E0,1.181044006E-1,5.663772125E0,1.712738342E0
1.407607667E0,4.186793518E-1,5.208119659E0,1.547332306E0
1.417609667E0,6.039939880E-1,4.712051239E0,1.577270050E0
1.427610667E0,6.990463257E-1,4.268074493E0,1.714085541E0
1.437611667E0,7.029382324E-1,3.855532379E0,1.866019592E0
1.447612667E0,7.185058594E-1,3.396886139E0,2.064656525E0
1.457613667E0,7.788304138E-1,2.788551178E0,2.275717621E0
1.467614667E0,8.285270691E-1,1.858535156E0,2.549797668E0
1.477615667E0,9.217831421E-1,5.298980713E-1,3.055146790E0
1.487617667E0,1.055604858E0,-1.024469604E0,3.692371674E0
1.497618667E0,1.397942963E0,-2.796484680E0,4.247267761E0
1.507619667E0,2.440973969E0,-4.768483887E0,4.477638702E0
1.517620667E0,4.414619751E0,-6.847211151E0,3.779640198E0
1.527621667E0,7.090455322E0,-8.881331177E0,2.462678833E0
1.537622667E0,9.596244507E0,-1.005309448E1,1.455722809E0
1.547623667E0,1.063658112E1,-9.511371002E0,1.258433075E0
1.557625667E0,1.014126114E1,-7.685467987E0,1.965861969E0
1.567626667E0,9.380243683E0,-6.153254242E0,2.532134399E0
1.577627667E0,9.468709717E0,-5.559439087E0,2.387834473E0
1.587628667E0,1.091919342E1,-6.138135681E0,1.701661377E0
1.597629667E0,1.353201004E1,-7.442972260E0,1.331331482E0
1.607630667E0,1.656455383E1,-8.167615356E0,1.884281616E0
1.617631667E0,1.897199753E1,-7.689808960E0,3.603905640E0
1.627633667E0,1.976459930E1,-6.036796417E0,5.835465088E0
1.637634667E0,1.907423492E1,-4.197122040E0,6.548133087E0
1.647635667E0,1.766641251E1,-3.681444397E0,5.173391876E0
1.657636667E0,1.605950409E1,-4.609664154E0,3.341501312E0
1.667637667E0,1.498833160E1,-6.223607941E0,1.177002411E0
1.677638667E0,1.390877655E1,-7.590715027E0,-1.433718567E0
1.687639667E0,1.193572952E1,-7.990084534E0,-2.208058319E0
1.697641667E0,1.018796402E1,-8.198900299E0,-3.274291077E0
1.707642667E0,9.101672974E0,-9.224268036E0,-3.636388092E0
1.717643667E0,8.561446381E0,-1.107262436E1,-3.754492493E0
1.727644667E0,8.666677551E0,-1.340537338E1,-4.058659973E0
1.737645667E0,9.248966675E0,-1.583976105E1,-4.048481140E0
1.747646667E0,9.824968872E0,-1.787777298E1,-3.965703278E0
1.757647667E0,1.014260834E1,-1.843701004E1,-3.442092133E0
1.767649667E0,1.047731232E1,-1.689207275E1,-2.697091370E0
1.777650667E0,1.124551483E1,-1.428703995E1,-1.797312469E0
1.787651667E0,1.229049179E1,-1.248748215E1,-4.638853455E-1
1.797652667E0,1.295481033E1,-1.133442993E1,9.574090576E-1
1.807653667E0,1.328906525E1,-1.038540344E1,2.100282440E0
1.817654667E0,1.344069992E1,-9.469458160E0,2.565514984E0
1.827655667E0,1.349818039E1,-8.333320770E0,3.274889832E0
1.837656667E0,1.334025879E1,-6.915169830E0,3.398383026E0
1.847658667E0,1.313907715E1,-5.791157227E0,3.750750275E0
1.857659667E0,1.306393341E1,-5.455255737E0,3.959416351E0
1.867660667E0,1.282562897E1,-5.850134583E0,4.119583282E0
1.877661667E0,1.225052490E1,-6.467301178E0,4.048331451E0
1.887662667E0,1.159758270E1,-6.919660492E0,3.792812805E0
1.897663667E0,1.096260315E1,-7.095694427E0,3.608396301E0
1.907664667E0,1.040291702E1,-7.078629913E0,3.497626648E0
1.917666667E0,9.849517822E0,-6.996899872E0,3.452570343E0
1.927667667E0,9.210945740E0,-6.946305084E0,3.429069214E0
1.937668667E0,8.579409027E0,-6.923702087E0,3.252137146E0
1.947669667E0,7.987839203E0,-6.900799713E0,3.066373444E0
1.957670667E0,7.371720428E0,-6.873107300E0,2.885699158E0
1.967671667E0,6.924600220E0,-6.887776794E0,2.782863007E0
1.977672667E0,6.721322937E0,-6.971153412E0,2.840493164E0
1.987674667E0,6.550677795E0,-7.075037384E0,3.088677063E0
1.997675667E0,6.440656586E0,-7.189549255E0,3.538341980E0
2.007676667E0,6.603667603E0,-7.256160736E0,3.888763275E0
2.017677667E0,6.834188232E0,-7.289241943E0,4.070784760E0
2.027678667E0,7.018005981E0,-7.392377472E0,4.162543945E0
2.037679667E0,7.217391357E0,-7.518864441E0,4.195774841E0
2.047680667E0,7.378905487E0,-7.617509308E0,4.158352661E0
2.057682667E0,7.566315765E0,-7.754923553E0,4.182003479E0
2.067683667E0,7.558082886E0,-7.912246399E0,4.278103638E0
2.077684667E0,7.461234283E0,-8.259823608E0,4.267326050E0
2.087685542E0,7.520660706E0,-8.737630005E0,4.199816437E0
2.097686542E0,7.518565063E0,-9.136849823E0,4.071832581E0
2.107687542E0,7.361092529E0,-9.338181152E0,3.955823822E0
2.117689542E0,7.238198090E0,-9.326655121E0,3.865860901E0
2.127690542E0,7.133865051E0,-9.208700409E0,3.886967010E0
2.137691542E0,6.948849792E0,-9.055119781E0,3.932173004E0
2.147692542E0,6.813830566E0,-8.848998413E0,3.896547089E0
2.157693542E0,6.725364532E0,-8.506061554E0,3.847598877E0
2.167694542E0,6.763535156E0,-8.165370026E0,3.643423462E0
2.177695542E0,7.004983063E0,-7.938441925E0,3.838916931E0
2.187697542E0,7.234605560E0,-7.625891876E0,4.186943207E0
2.197698542E0,7.232809296E0,-7.307354279E0,4.490062866E0
2.207699542E0,7.052434387E0,-7.134014740E0,4.636608124E0
2.217700542E0,6.938221893E0,-7.142996063E0,4.602928162E0
2.227701542E0,6.946305084E0,-7.417076111E0,4.499493256E0
2.237702542E0,7.108567657E0,-7.717950439E0,4.255500641E0
2.247703542E0,7.270231476E0,-8.025111694E0,4.017196198E0
2.257705542E0,7.206164703E0,-8.171806641E0,4.054468689E0
2.267706542E0,6.895859985E0,-8.123457184E0,3.818708954E0
2.277707542E0,6.553521881E0,-7.986791382E0,3.177292786E0
2.287708542E0,6.350394287E0,-7.896080017E0,2.550246735E0
2.297709542E0,6.329886932E0,-7.838000793E0,1.982477417E0
2.307710542E0,6.336024170E0,-7.614964600E0,1.437610474E0
2.317711542E0,6.317612457E0,-7.237898712E0,8.792715454E-1
2.327713542E0,6.344406738E0,-6.845265198E0,3.829037476E-1
2.337714542E0,6.546636200E0,-6.528972931E0,-2.606080627E-1
2.347715542E0,7.056026917E0,-6.381080475E0,-1.029858398E0
2.357716542E0,7.561226349E0,-6.289321289E0,-1.351689148E0
2.367717542E0,7.917635193E0,-6.209986267E0,-1.464255066E0
2.377718542E0,8.184530182E0,-6.234235840E0,-1.524729309E0
2.387719542E0,8.468639374E0,-6.373596039E0,-1.424737244E0
2.397721542E0,8.844058685E0,-6.676865387E0,-1.301693115E0
2.407722542E0,9.230554962E0,-7.070846100E0,-1.346150665E0
2.417723542E0,9.692344666E0,-7.317982178E0,-1.454974365E0
2.427724542E0,1.030621811E1,-7.385940857E0,-1.503323822E0
2.437725542E0,1.091066116E1,-7.378007355E0,-1.597028961E0
2.447726542E0,1.115749786E1,-7.265890503E0,-1.509610748E0
2.457727542E0,1.105166794E1,-7.007976837E0,-1.124311981E0
2.467729542E0,1.059347076E1,-6.655609589E0,-8.538244629E-1
2.477730542E0,1.007345215E1,-6.287075958E0,-1.072369995E0
2.487731542E0,9.995015259E0,-5.965245209E0,-1.428329773E0
2.497732542E0,1.024694138E1,-5.614973602E0,-1.643432465E0
2.507733542E0,1.054616913E1,-5.206772461E0,-1.745071106E0
2.517734542E0,1.072130493E1,-4.876409454E0,-1.671274567E0
2.527736542E0,1.071606583E1,-4.571044464E0,-1.493743744E0
2.537737542E0,1.069421127E1,-4.408632202E0,-1.385219421E0
2.547738542E0,1.071247330E1,-4.386627960E0,-1.333876190E0
2.557739542E0,1.074735077E1,-4.419559479E0,-1.216520233E0
2.567740542E0,1.087982529E1,-4.425696716E0,-1.036444702E0
2.577741542E0,1.102382584E1,-4.335434418E0,-9.897418213E-1
2.587742542E0,1.093790451E1,-4.046385498E0,-9.933343506E-1
2.597744542E0,1.065214874E1,-3.606899414E0,-6.354286194E-1
2.607745542E0,1.061906754E1,-3.256328430E0,-4.102967834E-1
2.617746542E0,1.088596252E1,-3.252137146E0,-1.417552185E-1
2.627747542E0,1.124925705E1,-3.250640259E0,3.176394653E-1
2.637748542E0,1.163425644E1,-3.139720917E0,8.831634521E-1
2.647749542E0,1.181687668E1,-2.789748688E0,1.071621552E0
2.657750542E0,1.156839340E1,-2.115700378E0,1.076561279E0
2.667752542E0,1.142693756E1,-1.431024170E0,1.208886108E0
2.677753542E0,1.155537048E1,-1.100361786E0,2.026036835E0
2.687754542E0,1.181253571E1,-9.425898743E-1,2.927013245E0
2.697755542E0,1.205787552E1,-8.831634521E-1,3.446882172E0
2.707756542E0,1.224034607E1,-7.656578064E-1,3.872896271E0
2.717757542E0,1.240650055E1,-5.783972168E-1,3.826343079E0
2.727758542E0,1.263238083E1,-4.144880676E-1,3.895349579E0
2.737760542E0,1.276096344E1,-2.695893860E-1,4.225712585E0
2.747761542E0,1.245275436E1,-9.984237671E-2,4.349804535E0
2.757762542E0,1.152198990E1,2.667453003E-1,4.637955322E0
2.767763542E0,1.043120819E1,7.321275330E-1,4.832550659E0
2.777764542E0,9.625733185E0,1.215771790E0,4.692891083E0
2.787765542E0,9.079219666E0,1.530118103E0,4.726421356E0
2.797767542E0,8.718020782E0,1.712888031E0,4.504732361E0
2.807768542E0,8.293204193E0,1.914219360E0,4.592599640E0
2.817769542E0,7.638016663E0,2.312091980E0,5.112318878E0
2.827770542E0,6.880142670E0,2.753074951E0,5.694009247E0
2.837771542E0,6.477180634E0,2.842888184E0,5.964945831E0
2.847772542E0,6.419400787E0,2.745291138E0,6.004463654E0
2.857773542E0,6.191574554E0,2.906056824E0,5.891149292E0
2.867775542E0,5.646707611E0,2.897374878E0,5.346731415E0
2.877776542E0,5.090015259E0,2.586321716E0,4.371060333E0
2.887777542E0,4.882546692E0,2.794688416E0,3.018023987E0
2.897778542E0,5.033432922E0,3.780538330E0,1.739832001E0
2.907779542E0,5.258115692E0,5.298531647E0,9.907896423E-1
2.917780542E0,5.675747223E0,6.674620056E0,5.017565918E-1
2.927782542E0,6.195765839E0,7.525151367E0,7.777825928E-1
2.937783542E0,6.909781036E0,7.562274170E0,1.463207245E0
2.947784542E0,7.889942780E0,6.907835083E0,2.412383423E0
2.957785542E0,8.813372498E0,6.578519897E0,3.596421204E0
2.967786542E0,9.393865356E0,6.440656586E0,3.663930817E0
2.977787542E0,9.368118896E0,5.760321350E0,2.993774414E0
